Country,Average Decade Change,Average Decade Change (%),1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population,Net Change,2020 Global Rank,2020 Global Percent,2020 Median Age,2020 Birth Rate,2020 Migrants
Croatia,-79154,-2,4492638,4680144,4873707,4548434,4368682,4096868,-395770,130,0.05,44,1.4,-8001.0
Cuba,486212,5,8869636,9809107,10626680,11105791,11290417,11300698,2431062,83,0.14,42,1.6,-14400.0
Curacao,7781,5,150385,156851,155446,141424,159380,189288,38903,189,0.0,Unknown,Unknown,Unknown
Cyprus,119347,14,640804,679327,788500,948237,1129686,1237537,596733,158,0.02,37,1.3,5000.0
Czech Republic,147042,1,9795744,10270060,10301192,10234710,10464749,10530953,735209,87,0.13,Unknown,Unknown,Unknown
Denmark,180536,3,4922963,5125392,5144623,5340655,5550849,5825641,902678,114,0.07,42,1.8,15200.0
Djibouti,189155,55,144379,324121,577173,742033,919199,1090156,945777,160,0.01,27,2.8,900.0
Dominica,620,1,68895,72978,69481,68346,68755,71995,3100,204,0.0,Unknown,Unknown,Unknown
Dominican Republic,1304759,20,4475871,5755800,7129004,8540791,9775755,10999664,6523793,84,0.14,28,2.4,-30000.0
DR Congo,14540286,36,20151733,26708686,35987541,48616317,66391257,92853164,72701431,16,1.18,17,6.0,23861.0
Ecuador,2283276,23,6172215,8135845,10449837,12626507,14989585,17588595,11416380,67,0.22,28,2.4,36400.0
Egypt,14536630,25,34781986,43748556,57214630,71371371,87252413,107465134,72683148,14,1.37,25,3.3,-38033.0
El Salvador,534728,12,3619090,4508992,5367179,5958482,6114034,6292731,2673641,111,0.08,28,2.1,-40539.0
Equatorial Guinea,255819,41,316955,282509,465549,684977,1094524,1596049,1279094,152,0.02,22,4.6,16000.0
Eritrea,456624,23,1272748,1657982,2149960,2392880,3147727,3555868,2283120,132,0.05,19,4.1,-39858.0
Estonia,-6511,0,1361999,1476983,1570674,1396877,1331535,1329444,-32555,155,0.02,42,1.6,3911.0
Eswatini,147558,23,442865,598564,854011,1030496,1099920,1180655,737790,159,0.02,21,3.0,-8353.0
Ethiopia,17776533,33,28308246,34945469,47878073,67031867,89237791,117190911,88882665,12,1.49,19,4.3,30000.0
Falkland Islands,295,11,2274,2240,2332,3080,3187,3747,1473,231,0.0,Unknown,Unknown,Unknown
Faroe Islands,2800,7,38416,43054,47479,45660,48410,52415,13999,209,0.0,Unknown,Unknown,Unknown
Fiji,78558,12,527634,644582,780430,832509,905169,920422,392788,162,0.01,28,2.8,-6202.0
Finland,184569,4,4606621,4779418,4986545,5176209,5363271,5529468,922847,117,0.07,43,1.5,14000.0
France,2791293,5,50523586,53713830,56412897,58665453,62444567,64480053,13956467,22,0.82,42,1.9,36527.0
French Guiana,48897,45,46484,66825,113931,164351,228453,290969,244485,184,0.0,25,3.4,1200.0
French Polynesia,36806,21,117891,163591,211089,250927,283788,301920,184029,183,0.0,34,2.0,-1000.0
Gabon,339076,31,597192,749078,983028,1272935,1711105,2292573,1695381,146,0.03,23,4.0,3260.0
Gambia,409053,37,528731,718586,1040616,1437539,1937275,2573995,2045264,143,0.03,18,5.3,-3087.0
Georgia,-206903,-4,4800426,5145843,5391636,4265172,3836831,3765912,-1034514,131,0.05,38,2.1,-10000.0
Germany,1006881,1,78294583,77786703,79370196,81551677,81325090,83328988,5034405,19,1.06,46,1.6,543822.0
Ghana,4663701,29,8861895,11865246,15446982,19665502,25574719,32180401,23318506,47,0.41,22,3.9,-10000.0
Gibraltar,1205,4,26685,28734,27317,27741,31262,32709,6024,219,0.0,Unknown,Unknown,Unknown
Greece,393472,4,8544873,9307148,10302255,11038109,11033783,10512232,1967359,88,0.13,46,1.3,-16000.0
Greenland,2118,4,45434,50106,55599,56184,56351,56026,10592,208,0.0,Unknown,Unknown,Unknown
Grenada,4974,5,98794,94838,99047,107432,114039,123663,24869,193,0.0,32,2.1,-200.0
Guadeloupe,15466,5,318310,334234,391951,424067,403072,395642,77332,177,0.01,44,2.2,-1440.0
Guam,16186,14,88300,110286,138263,160188,164905,169231,80931,191,0.0,31,2.3,-506.0
